,x,y,state,scenario
11,110.0,0.0,ME,high
12,120.0,3348.0,ME,high
0,0.0,625466.0,VA,high
1,10.0,216967.0,VA,high
2,20.0,45991.0,VA,high
3,30.0,14825.0,VA,high
4,40.0,7255.0,VA,high
5,50.0,1088.0,VA,high
6,60.0,139.0,VA,high
7,70.0,0.0,VA,high
8,80.0,0.0,VA,high
9,90.0,0.0,VA,high
10,100.0,0.0,VA,high
11,110.0,0.0,VA,high
12,120.0,0.0,VA,high
0,0.0,3396.0,GA,high
1,10.0,83017.0,GA,high
2,20.0,159186.0,GA,high
3,30.0,13025.0,GA,high
4,40.0,7949.0,GA,high
5,50.0,467.0,GA,high
6,60.0,99.0,GA,high
7,70.0,554.0,GA,high
8,80.0,137.0,GA,high
9,90.0,20.0,GA,high
10,100.0,0.0,GA,high
11,110.0,0.0,GA,high
12,120.0,22.0,GA,high
0,0.0,29744.0,TX,high
1,10.0,198996.0,TX,high
2,20.0,13405.0,TX,high
3,30.0,5539.0,TX,high
4,40.0,9260.0,TX,high
5,50.0,15756.0,TX,high
6,60.0,5095.0,TX,high
7,70.0,2785.0,TX,high
8,80.0,4809.0,TX,high
9,90.0,844.0,TX,high
10,100.0,522.0,TX,high
11,110.0,266.0,TX,high
12,120.0,0.0,TX,high
0,0.0,76916.0,MS,high
1,10.0,9419.0,MS,high
2,20.0,3477.0,MS,high
3,30.0,1067.0,MS,high
4,40.0,391.0,MS,high
5,50.0,0.0,MS,high
6,60.0,0.0,MS,high
7,70.0,0.0,MS,high
8,80.0,0.0,MS,high
9,90.0,0.0,MS,high
10,100.0,0.0,MS,high
11,110.0,0.0,MS,high
12,120.0,1140.0,MS,high
0,0.0,36115.0,AL,high
1,10.0,13083.0,AL,high
2,20.0,2660.0,AL,high
3,30.0,1043.0,AL,high
4,40.0,1115.0,AL,high
5,50.0,208.0,AL,high
6,60.0,0.0,AL,high
7,70.0,0.0,AL,high
8,80.0,0.0,AL,high
9,90.0,0.0,AL,high
10,100.0,0.0,AL,high
11,110.0,0.0,AL,high
12,120.0,0.0,AL,high
0,0.0,191148.0,HI,high
1,10.0,58528.0,HI,high
2,20.0,24301.0,HI,high
3,30.0,14448.0,HI,high
4,40.0,217.0,HI,high
5,50.0,4171.0,HI,high
6,60.0,47.0,HI,high
7,70.0,50.0,HI,high
8,80.0,0.0,HI,high
9,90.0,0.0,HI,high
10,100.0,0.0,HI,high
11,110.0,0.0,HI,high
12,120.0,0.0,HI,high
0,0.0,392078.0,MA,high
1,10.0,118842.0,MA,high
2,20.0,50346.0,MA,high
3,30.0,97861.0,MA,high
4,40.0,7459.0,MA,high
5,50.0,1744.0,MA,high
6,60.0,1105.0,MA,high
7,70.0,7078.0,MA,high
8,80.0,1866.0,MA,high
9,90.0,10020.0,MA,high
10,100.0,16129.0,MA,high
11,110.0,1847.0,MA,high
12,120.0,15230.0,MA,high
0,0.0,34589.0,DE,high
1,10.0,5813.0,DE,high
2,20.0,15334.0,DE,high
3,30.0,9252.0,DE,high
4,40.0,1082.0,DE,high
5,50.0,1498.0,DE,high
6,60.0,1626.0,DE,high
7,70.0,547.0,DE,high
8,80.0,4486.0,DE,high
9,90.0,7760.0,DE,high
10,100.0,45.0,DE,high
11,110.0,122.0,DE,high
12,120.0,1387.0,DE,high
0,0.0,25972.0,OR,high
1,10.0,2600.0,OR,high
2,20.0,5034.0,OR,high
3,30.0,2401.0,OR,high
4,40.0,2576.0,OR,high
5,50.0,0.0,OR,high
6,60.0,0.0,OR,high
7,70.0,0.0,OR,high
8,80.0,0.0,OR,high
9,90.0,0.0,OR,high
10,100.0,0.0,OR,high
11,110.0,0.0,OR,high
12,120.0,36727.0,OR,high
0,0.0,5529.0,PA,high
1,10.0,25966.0,PA,high
2,20.0,2370.0,PA,high
3,30.0,3634.0,PA,high
4,40.0,1050.0,PA,high
5,50.0,18.0,PA,high
6,60.0,46.0,PA,high
7,70.0,0.0,PA,high
8,80.0,0.0,PA,high
9,90.0,0.0,PA,high
10,100.0,0.0,PA,high
11,110.0,0.0,PA,high
12,120.0,19366.0,PA,high
0,0.0,10843.0,RI,high
1,10.0,2102.0,RI,high
2,20.0,1630.0,RI,high
3,30.0,30153.0,RI,high
4,40.0,4810.0,RI,high
5,50.0,5155.0,RI,high
6,60.0,203.0,RI,high
7,70.0,770.0,RI,high
8,80.0,290.0,RI,high
9,90.0,88.0,RI,high
10,100.0,0.0,RI,high
11,110.0,0.0,RI,high
12,120.0,661.0,RI,high
0,0.0,9189.0,NH,high
1,10.0,1584.0,NH,high
2,20.0,905.0,NH,high
3,30.0,412.0,NH,high
4,40.0,2219.0,NH,high
5,50.0,193.0,NH,high
6,60.0,3.0,NH,high
7,70.0,101.0,NH,high
8,80.0,0.0,NH,high
9,90.0,0.0,NH,high
10,100.0,0.0,NH,high
11,110.0,0.0,NH,high
12,120.0,0.0,NH,high
0,0.0,1234.0,DC,high
1,10.0,3754.0,DC,high
2,20.0,248.0,DC,high
3,30.0,0.0,DC,high
4,40.0,0.0,DC,high
5,50.0,0.0,DC,high
6,60.0,0.0,DC,high
7,70.0,0.0,DC,high
8,80.0,0.0,DC,high
9,90.0,0.0,DC,high
10,100.0,0.0,DC,high
11,110.0,0.0,DC,high
12,120.0,2364.0,DC,high
