,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name
253,0,53031,165.0,146.0,2.0,3.0,88.0,WA,Washington
254,0,53033,442.0,351.0,14.0,23.0,199.0,WA,Washington
255,0,53035,536.0,356.0,9.0,62.0,283.0,WA,Washington
256,0,53045,299.0,213.0,2.0,22.0,301.0,WA,Washington
257,0,53049,676.0,551.0,1.0,61.0,504.0,WA,Washington
258,0,53053,111.0,37.0,4.0,10.0,28.0,WA,Washington
259,0,53055,21.0,20.0,0.0,0.0,10.0,WA,Washington
260,0,53057,2335.0,1792.0,7.0,272.0,1105.0,WA,Washington
261,0,53061,3418.0,2539.0,43.0,367.0,1471.0,WA,Washington
262,0,53067,86.0,52.0,2.0,16.0,39.0,WA,Washington
263,0,53069,690.0,580.0,1.0,29.0,306.0,WA,Washington
264,0,53073,1122.0,988.0,10.0,27.0,878.0,WA,Washington
265,1,01003,307.0,276.0,3.0,3.0,433.0,AL,Alabama
266,1,01097,2077.0,1577.0,360.0,50.0,1421.0,AL,Alabama
267,1,06001,6980.0,1597.0,386.0,894.0,2484.0,CA,California
268,1,06013,277.0,49.0,33.0,160.0,65.0,CA,California
269,1,06015,26.0,19.0,0.0,5.0,30.0,CA,California
270,1,06023,1023.0,676.0,22.0,156.0,530.0,CA,California
271,1,06037,2628.0,1861.0,190.0,289.0,1688.0,CA,California
272,1,06041,19991.0,7621.0,253.0,10425.0,7070.0,CA,California
273,1,06045,19.0,8.0,0.0,5.0,3.0,CA,California
274,1,06053,313.0,116.0,7.0,130.0,108.0,CA,California
275,1,06055,205.0,152.0,0.0,27.0,116.0,CA,California
276,1,06059,22667.0,15708.0,164.0,3093.0,9631.0,CA,California
277,1,06073,8400.0,3710.0,1632.0,2098.0,816.0,CA,California
278,1,06075,302.0,76.0,82.0,63.0,127.0,CA,California
279,1,06079,183.0,153.0,0.0,17.0,115.0,CA,California
280,1,06081,14055.0,3806.0,724.0,5397.0,5019.0,CA,California
281,1,06083,548.0,297.0,11.0,105.0,138.0,CA,California
282,1,06085,12794.0,3730.0,272.0,2796.0,4989.0,CA,California
283,1,06087,54.0,14.0,1.0,22.0,5.0,CA,California
284,1,06095,2437.0,638.0,395.0,725.0,870.0,CA,California
285,1,06097,423.0,248.0,3.0,141.0,158.0,CA,California
286,1,09001,5112.0,2916.0,838.0,982.0,2574.0,CT,Connecticut
287,1,09007,3350.0,2999.0,34.0,181.0,2260.0,CT,Connecticut
288,1,09009,5975.0,5378.0,91.0,263.0,3324.0,CT,Connecticut
289,1,09011,1754.0,1533.0,39.0,62.0,1263.0,CT,Connecticut
290,1,10001,2329.0,1558.0,351.0,189.0,1039.0,DE,Delaware
291,1,10003,1914.0,1096.0,626.0,46.0,820.0,DE,Delaware
292,1,10005,4225.0,3925.0,88.0,74.0,5057.0,DE,Delaware
293,1,11001,15.0,2.0,3.0,2.0,3.0,DC,District of Columbia
294,1,12005,1020.0,800.0,54.0,61.0,637.0,FL,Florida
295,1,12009,4825.0,3998.0,52.0,342.0,2290.0,FL,Florida
296,1,12011,116302.0,39866.0,24133.0,42400.0,51902.0,FL,Florida
297,1,12015,5506.0,5098.0,62.0,164.0,3680.0,FL,Florida
298,1,12017,2811.0,2625.0,33.0,66.0,2348.0,FL,Florida
299,1,12019,6954.0,5020.0,744.0,715.0,2818.0,FL,Florida
300,1,12021,12812.0,9733.0,684.0,2066.0,10947.0,FL,Florida
301,1,12029,320.0,305.0,2.0,4.0,518.0,FL,Florida
302,1,12031,21036.0,14167.0,4055.0,1403.0,9053.0,FL,Florida
303,1,12033,1514.0,1081.0,241.0,75.0,817.0,FL,Florida
304,1,12035,2020.0,1853.0,32.0,63.0,1223.0,FL,Florida
305,1,12037,599.0,581.0,9.0,3.0,1032.0,FL,Florida
306,1,12045,230.0,218.0,0.0,2.0,225.0,FL,Florida
307,1,12053,1194.0,985.0,47.0,102.0,691.0,FL,Florida
308,1,12057,40228.0,19176.0,5597.0,11286.0,17800.0,FL,Florida
309,1,12061,3702.0,2970.0,366.0,231.0,2552.0,FL,Florida
310,1,12071,13455.0,11269.0,368.0,1445.0,11781.0,FL,Florida
311,1,12075,317.0,291.0,1.0,11.0,249.0,FL,Florida
312,1,12081,18600.0,14776.0,827.0,1837.0,11093.0,FL,Florida
313,1,12085,1370.0,1250.0,1.0,72.0,1063.0,FL,Florida
314,1,12086,110665.0,13678.0,11410.0,82420.0,42003.0,FL,Florida
315,1,12087,13634.0,9598.0,401.0,3170.0,10048.0,FL,Florida
316,1,12089,6435.0,5453.0,373.0,287.0,2926.0,FL,Florida
317,1,12091,262.0,200.0,26.0,10.0,111.0,FL,Florida
318,1,12099,5174.0,4484.0,121.0,400.0,3983.0,FL,Florida
