,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
101,2,MD,10368.604009942732,8363.020805830274,969.333461466795,428.3688396041337,Maryland,6177224,0.2
102,3,MD,23713.607196328667,19162.40947502609,2115.2617425847297,997.842546532778,Maryland,6177224,0.4
103,4,MD,38521.93261879157,31219.015924145235,3344.8823938954556,1643.7974503696792,Maryland,6177224,0.6
104,5,MD,54526.28118559398,44250.69540766791,4693.705791179793,2325.394578030371,Maryland,6177224,0.9
105,6,MD,73580.38774750162,59543.59086589411,6284.778911577202,3183.712961698117,Maryland,6177224,1.2
106,7,MD,91705.47189929527,74072.94591234645,7764.628755107775,4038.7277290924367,Maryland,6177224,1.5
107,8,MD,110428.92460254031,88740.15306621982,9574.067187994313,5020.057589955056,Maryland,6177224,1.8
108,9,MD,128098.6129037243,102037.98583435315,11840.98695268858,5982.9134262195585,Maryland,6177224,2.1
109,10,MD,145672.27431611743,115160.30855544136,14186.213679658571,6932.698294661128,Maryland,6177224,2.4
110,1,MA,26532.060015862113,16900.755436827036,1304.2408107240408,3568.0184703164214,Massachusetts,7029917,0.4
111,2,MA,56160.303138811396,35231.79104437434,3095.0012777447946,7316.611826402837,Massachusetts,7029917,0.8
112,3,MA,95417.35784130996,57646.2198692654,6258.55154593973,13661.169018659664,Massachusetts,7029917,1.4
113,4,MA,164316.46514963586,97109.08321743541,10959.693659688939,23871.063770311714,Massachusetts,7029917,2.3
114,5,MA,242342.31782897442,140347.8863257633,17267.591743964498,35663.84454175741,Massachusetts,7029917,3.4
115,6,MA,306863.20231602597,175638.06718139266,23368.991382827116,46101.54232266374,Massachusetts,7029917,4.4
116,7,MA,362427.874094912,206938.20198488445,28499.681676287633,54310.62005065344,Massachusetts,7029917,5.2
117,8,MA,407368.0506607132,232153.01444190778,32802.534065660984,61486.22730768959,Massachusetts,7029917,5.8
118,9,MA,447505.24518132355,255405.51367807848,35990.3485445906,67738.59737381295,Massachusetts,7029917,6.4
119,10,MA,488882.8356515282,279576.83541214146,38972.550137961814,74161.38984134252,Massachusetts,7029917,7.0
120,1,MS,787.0915775092902,676.3705130116934,45.34038878279277,29.897457242721966,Mississippi,2961279,0.0
121,2,MS,1928.2256305924145,1654.7620328551861,116.36547793860956,73.03405159302834,Mississippi,2961279,0.1
122,3,MS,3703.7654664041625,3057.564081523858,274.6700151170656,168.96351529903268,Mississippi,2961279,0.1
123,4,MS,5779.900867190628,4573.14671167342,543.630821077785,307.8313518570881,Mississippi,2961279,0.2
124,5,MS,8522.901506941958,6489.883450647342,991.0035129910195,466.21441951718174,Mississippi,2961279,0.3
125,6,MS,12134.98032178517,8824.648996263943,1708.8818950037062,718.0227721348963,Mississippi,2961279,0.4
126,7,MS,16384.74161262664,11485.745916126918,2644.4527219791844,997.3311960586062,Mississippi,2961279,0.6
127,8,MS,22064.638703399592,14834.05099334364,4092.3740016479883,1370.5527067959717,Mississippi,2961279,0.7
128,9,MS,29760.24820352236,19358.218476452323,5998.270898057174,2008.3980312236592,Mississippi,2961279,1.0
129,10,MS,41990.61410446808,26177.215087763103,9336.249270961913,3214.387789201613,Mississippi,2961279,1.4
130,1,NH,599.8287398792521,568.8244376619899,1.6758416993430698,9.071859465845225,New Hampshire,1377529,0.0
131,2,NH,1544.4542813429252,1459.0584105427633,4.914051895373998,28.031849867263006,New Hampshire,1377529,0.1
132,3,NH,2391.027454828116,2244.133886763901,9.816469673747463,48.23913298645002,New Hampshire,1377529,0.2
133,4,NH,3820.1023149738394,3559.999244312189,14.733817890526831,93.55175300225602,New Hampshire,1377529,0.3
